7,4,28,47,1,59,4,47,52
1,1,2,43,1,30,1,54,16
13,8,47,1,57,40,1,1,60
4,1,55,54,56,55,1,4,43
51,55,45,45,1,45,43,46,1
4,56,2,1,56,45,53,1,16
28,56,43,1,54,1,1,1,56
53,30,2,2,4,47,45,43,60
47,4,1,1,54,1,1,59,1
22,1,7,16,7,45,1,42,52
8,4,1,7,1,17,7,1,53
1,45,1,43,7,56,45,1,60
53,1,22,56,7,42,43,56,46
59,1,45,1,1,58,56,1,55
38,56,56,23,28,7,46,52,54
7,1,4,56,45,16,45,1,1
43,4,4,43,1,4,13,43,4
40,1,52,47,40,58,1,59,56
1,30,4,16,54,52,54,5,1
52,53,52,17,47,56,59,47,1
59,28,55,52,1,1,56,23,1
54,4,1,28,56,47,52,23,1
30,47,53,52,45,22,57,59,7
1,1,1,28,45,47,43,43,8
45,55,1,1,1,2,2,1,7
16,1,45,45,54,59,43,4,45
1,56,1,1,38,7,56,1,1
28,46,52,1,57,1,50,1,12
23,51,43,30,1,7,54,54,7
50,56,2,52,1,1,30,47,1
7,2,52,1,58,48,4,1,30
43,2,47,60,8,1,16,54,45
43,46,57,4,4,1,55,13,47
1,2,45,47,56,1,7,4,4
2,54,30,31,16,53,60,1,56
45,43,51,30,12,55,57,7,23
51,59,58,54,52,59,56,52,4
30,13,55,2,47,2,50,52,2
1,52,45,4,13,1,16,1,1
52,43,4,56,13,28,59,55,1
58,54,7,55,13,47,7,43,45
48,53,55,1,1,28,1,60,53
